"Order No (v3)";2214_MB112017
"PL order No.";
Client;Eurodiesel
"Delivery address to client";"Tocco da Casauria"
VIN;ZB3M300010Y066787-ZB3M300010Y066788
"Production slot (week)";5
Units;2
Brand;Viberti
Category;"NS3K/KB/KO M2-IT (107mm neck)"
Typ;"<span style=""text-decoration: line-through,"">NS3KBM2-IT</span>  NS3KBM3-IT"
"axle producer";"SAF Disc"
Calliper;"<span style=""text-decoration: line-through,"">Haldex</span>  KNORR"
options;"for paletbox 32 long, Curtainsider with dropsides, adopted for rear lift"
"upper structure type";"Curtainsider with dropsides"
"hinges for dropsides";YES
"pocket for hestal pillars";YES
"long palletbox";YES
"pockets for 80x80 pillars";none
KTL;YES
"Nominal5 wheel";1150
"(real 5 wheel)";1145
"wheel size";385/65/R22,5
wheels*;"6x  BRIDGESTONE R164, 7x  steel rims"
"steering axle";YES
"axle type";"BILL9-22S IU30/2505 33 2040-1300 (Integral, Haldex brake callipers/zaciskie hamulcowe)"
"Chassis PDM drawing";"<span style=""text-decoration: line-through,"">O294-K033170</span>  "
"QAD NR";"<span style=""text-decoration: line-through,"">K033175</span>  "
"steering axle crossbeam";"2 291 0449 00"
dropside;"K033201- H1000-L3185-bolted with eyelets fixed to 2nd plank from bottom"
"front wall";"Viberti front wall"
"upper structure";"M3 (aluminium rear pillars and doors, all elements from PL)"
"roof type";multipoint
"double plywood on front wall";NO
"internal heights";2750
"upper structure planks";"3 rows of alu planks 100mm"
"planks holder";none
"landing legs/shaft length/foot/position/ground dis.";L500S750/1450/S/up/215
"accesory, boxes and wheel holders, 1";"toolbox Jbz700 (W191948) + wheel basket (W015165 for ET-120 or W185514 for ET-0)"
"accesory, boxes and wheel holders, 2";"Pommier document box 3805130, bought and assembled by IR"
"accesory, side protection";"side protection when adopted for long paletbox (O204-K032615)"
"rear buffer";"roll stop- W184261"
mudguards;"full mudguards with rainflaps only on rear axle (W973391)"
"ferry rings";YES
"lashing rings for fixing goods inside semi.";YES
"1st axle lifted (steering from the cabin)";YES
"1st and 3rd axle lifted (steering from the cabin)";NO
Hubodometer;NO
Lights;"Europoint II"
"tire from Poland";NO
"rims from Poland";NO
"Electric socket";"2x 7pin + 1x 15 pin"
Frame;"KTL + 7021- gray"
"Rear bumper profile, light fixing profile";"Standard RAL 9003"
"Wheel hub";Original
"Side protection color";"Standard (aluminum)"
"Front pillar";other
"Rear pillar";other
"Front wall color";other
"Rear door";Original
Hestal;Original
"tarpaulin No.";none
"tarpaulin color";default
"tarpaulin with graphic";NO
"back doors with graphic";NO
"information abour standard configuration";"brake system is Wabco, aluminium air tanks (160 litre total), rear lights brackets W228316, register plate bracket W232862"
"Non standard description";"Tarpaulin Ral 9006
internal protection of front wall in plywood and an added protection in metal sheet in the lower part of front wall.
Front wall red RAL 3003
Front and rear pillars Red RAL 3003
Side board (not dropside) RAL 3003"
